index,job_title,rating,company,location,headquarters,size,ownership,sector,salary_start,salary_end,location_state
307,Data Scientist,3.2,"Kollasoft Inc.
3.2",United States,"Scottsdale, AZ",1 to 50 employees,Company - Private,Information Technology,145000,225000,Other
632,Data Scientist,4.9,"Avlino
4.9","New Jersey, NJ","Holmdel, NJ",1 to 50 employees,Company - Private,Information Technology,92000,155000, NJ
524,Data Scientist,0,CompuForce,"New York, NY","New York, NY",Unknown,Company - Private,Unknown,212000,331000, NY
519,Other,0,Monte Rosa Therapeutics,"Cambridge, MA",Unknown,Unknown,Unknown,Unknown,212000,331000, MA
108,Data Scientist,4.1,"HP Inc.
4.1","San Diego, CA","Palo Alto, CA",10000+ employees,Company - Public,Information Technology,99000,132000, CA
273,Data Scientist,3.2,"Metronome, LLC
3.2","Vienna, VA","Fairfax, VA",51 to 200 employees,Company - Private,Information Technology,91000,150000, VA
245,Data Scientist,3.7,"Sanofi
3.7","Cambridge, MA","Paris, France",10000+ employees,Company - Public,Biotech & Pharmaceuticals,90000,124000, MA
246,Data Scientist,3.7,"XPO Logistics
3.7","Lebanon, IN","Greenwich, CT",10000+ employees,Company - Public,Transportation & Logistics,90000,124000, IN
401,Data Engineer,3.9,"Navy Federal Credit Union
3.9","Merrifield, VA","Vienna, VA",10000+ employees,Other Organization,Finance,110000,163000, VA
402,Other,4.0,"Exact Sciences Corporation
4.0","Madison, WI","Madison, WI",1001 to 5000 employees,Company - Public,Health Care,110000,163000, WI
404,Other,3.3,"Reynolds American
3.3","Winston-Salem, NC","Winston-Salem, NC",5001 to 10000 employees,Company - Private,Manufacturing,110000,163000, NC
262,Data Scientist,3.8,"MIT Lincoln Laboratory
3.8","Lexington, MA","Lexington, MA",1001 to 5000 employees,Nonprofit Organization,Aerospace & Defense,91000,150000, MA
263,Data Scientist,3.3,"Puget Sound Energy
3.3","Bothell, WA","Bellevue, WA",1001 to 5000 employees,Company - Private,"Oil, Gas, Energy & Utilities",91000,150000, WA
264,Data Scientist,3.7,"Pacific Northwest National Laboratory
3.7","Richland, WA","Richland, WA",1001 to 5000 employees,Government,"Oil, Gas, Energy & Utilities",91000,150000, WA
24,Data Scientist,3.4,"Spectrum Communications and Consulting
3.4","Chicago, IL","Chicago, IL",51 to 200 employees,Company - Private,Business Services,137000,171000, IL
266,Data Scientist,3.2,"US Pharmacopeia
3.2","Rockville, MD","Rockville, MD",1001 to 5000 employees,Nonprofit Organization,Biotech & Pharmaceuticals,91000,150000, MD
283,Data Scientist,3.4,"Edmunds.com
3.4","Santa Monica, CA","Santa Monica, CA",501 to 1000 employees,Company - Private,Information Technology,141000,225000, CA
284,Data Scientist,5.0,"Cohere Health
5.0","Boston, MA","Boston, MA",1 to 50 employees,Company - Private,Information Technology,141000,225000, MA
279,Data Scientist,3.3,"Underwriters Laboratories
3.3","Northbrook, IL","Northbrook, IL",10000+ employees,Company - Private,Business Services,91000,150000, IL
